Num; xash;
745; 3;
746; 5;
747; 5;
748; 3;
749; 3;
750; 3;
751; 3;
752; 3;
753; 2;
754; 4;
755; 1;
756; 4;
757; 1;
758; 2;
759; 2;
760; 1;
761; 1;
762; 0;
763; 4;
764; 1;
765; 1;
766; 4;
767; 6;
768; 4;
769; 1;
770; 3;
771; 3;
772; 3;
773; 5;
774; 2;
775; 4;
776; 1;
777; 2;
778; 7;
779; 2;
780; 3;
781; 2;
782; 4;
783; 4;
784; 1;
785; 2;
786; 2;
787; 3;
788; 5;
789; 0;
790; 5;
791; 1;
792; 1;
793; 5;
794; 0;
795; 3;
796; 1;
797; 6;
798; 1;
799; 2;
800; 1;
801; 0;
802; 6;
803; 4;
804; 7;
805; 1;
806; 1;
807; 5;
808; 5;
809; 1;
810; 4;
811; 3;
812; 2;
813; 3;
814; 3;
815; 3;
816; 3;
817; 2;
818; 3;
819; 3;
820; 4;
821; 2;
822; 2;
823; 6;
824; 6;
825; 1;
826; 1;
827; 2;
828; 4;
829; 2;
830; 4;
831; 5;
832; 1;
833; 1;
834; 2;
835; 4;
836; 1;
837; 2;
838; 3;
839; 1;
840; 1;
841; 2;
842; 2;
843; 3;
844; 4;
845; 1;
846; 2;
847; 2;
848; 2;
849; 5;
850; 4;
851; 2;
852; 2;
853; 3;
854; 2;
855; 2;
856; 2;
857; 1;
858; 2;
859; 0;
860; 1;
861; 1;
862; 1;
863; 0;
864; 6;
865; 6;
866; 3;
867; 2;
868; 2;
869; 3;
870; 5;
871; 0;
872; 1;
873; 2;
874; 1;
875; 2;
876; 1;
877; 1;
878; 1;
879; 2;
880; 3;
881; 5;
882; 4;
883; 4;
884; 1;
885; 2;
886; 6;
887; 2;
888; 2;
889; 2;
890; 3;
891; 1;
892; 2;
893; 3;
894; 2;
895; 1;
896; 3;
897; 2;
898; 1;
899; 4;
900; 3;
901; 2;
902; 3;
903; 2;
904; 4;
905; 1;
906; 2;
907; 1;
908; 2;
909; 0;
910; 1;
911; 3;
912; 1;
913; 5;
914; 2;
915; 3;
916; 1;
917; 6;
918; 0;
919; 1;
920; 1;
921; 3;
922; 2;
923; 2;
924; 3;
925; 1;
926; 4;
927; 1;
928; 2;
929; 2;
930; 1;
931; 2;
932; 4;
933; 4;
934; 1;
935; 1;
936; 1;
937; 0;
938; 3;
939; 1;
940; 3;
941; 3;
942; 5;
943; 6;
944; 5;
945; 1;
946; 2;
947; 1;
948; 4;
949; 1;
950; 2;
951; 6;
952; 1;
953; 4;
954; 2;
955; 1;
956; 1;
957; 1;
958; 3;
959; 1;
960; 2;
961; 3;
962; 0;
963; 2;
964; 2;
965; 2;
966; 1;
967; 2;
968; 1;
969; 2;
970; 3;
971; 3;
972; 2;
973; 2;
974; 1;
975; 3;
976; 3;
977; 2;
978; 5;
979; 2;
980; 1;
981; 2;
982; 2;
983; 6;
984; 2;
985; 6;
986; 0;
987; 3;
988; 3;
989; 4;
990; 3;
991; 5;
992; 1;
993; 2;
994; 3;
995; 3;
996; 1;
997; 2;
998; 2;
999; 5;
